# Energy(keV) Counts
5.0 0
15.0 0
25.0 0
35.0 0
45.0 0
55.0 0
65.0 0
75.0 0
85.0 0
95.0 0
105.0 0
115.0 0
125.0 0
135.0 0
145.0 0
155.0 0
165.0 0
175.0 0
185.0 0
195.0 0
205.0 0
215.0 0
225.0 0
235.0 0
245.0 0
255.0 0
265.0 0
275.0 0
285.0 0
295.0 0
305.0 0
315.0 0
325.0 0
335.0 0
345.0 0
355.0 0
365.0 0
375.0 0
385.0 0
395.0 0
405.0 0
415.0 0
425.0 0
435.0 0
445.0 0
455.0 0
465.0 0
475.0 0
485.0 0
495.0 0
505.0 0
515.0 0
525.0 0
535.0 0
545.0 0
555.0 0
565.0 0
575.0 0
585.0 0
595.0 0
605.0 0
615.0 0
625.0 0
635.0 0
645.0 0
655.0 0
665.0 0
675.0 0
685.0 0
695.0 0
705.0 0
715.0 0
725.0 0
735.0 0
745.0 0
755.0 0
765.0 0
775.0 0
785.0 0
795.0 0
805.0 0
815.0 0
825.0 0
835.0 0
845.0 0
855.0 0
865.0 0
875.0 0
885.0 0
895.0 0
905.0 0
915.0 0
925.0 0
935.0 0
945.0 0
955.0 0
965.0 0
975.0 0
985.0 0
995.0 0
1005.0 22
1015.0 56
1025.0 45
1035.0 58
1045.0 51
1055.0 48
1065.0 38
1075.0 40
1085.0 45
1095.0 33
1105.0 37
1115.0 21
1125.0 35
1135.0 37
1145.0 41
1155.0 28
1165.0 28
1175.0 45
1185.0 36
1195.0 96
1205.0 268
1215.0 424
1225.0 254
1235.0 79
1245.0 22
1255.0 22
1265.0 31
1275.0 30
1285.0 37
1295.0 36
1305.0 53
1315.0 62
1325.0 303
1335.0 615
1345.0 401
1355.0 82
1365.0 46
1375.0 55
1385.0 68
1395.0 119
1405.0 169
1415.0 225
1425.0 188
1435.0 228
1445.0 231
1455.0 215
1465.0 132
1475.0 70
1485.0 50
1495.0 61
1505.0 111
1515.0 247
1525.0 319
1535.0 208
1545.0 70
1555.0 34
1565.0 37
1575.0 41
1585.0 48
1595.0 64
1605.0 167
1615.0 262
1625.0 178
1635.0 76
1645.0 59
1655.0 41
1665.0 44
1675.0 58
1685.0 63
1695.0 75
1705.0 185
1715.0 554
1725.0 1254
1735.0 799
1745.0 222
1755.0 102
1765.0 93
1775.0 101
1785.0 95
1795.0 118
1805.0 168
1815.0 243
1825.0 829
1835.0 2528
1845.0 3631
1855.0 2854
1865.0 1125
1875.0 329
1885.0 230
1895.0 198
1905.0 166
1915.0 138
1925.0 126
1935.0 115
1945.0 105
1955.0 96
1965.0 96
1975.0 60
1985.0 81
1995.0 78
2005.0 66
2015.0 70
2025.0 78
2035.0 217
2045.0 459
2055.0 692
2065.0 938
2075.0 1792
2085.0 2041
2095.0 1245
2105.0 259
2115.0 73
2125.0 90
2135.0 82
2145.0 71
2155.0 87
2165.0 78
2175.0 99
2185.0 152
2195.0 371
2205.0 1144
2215.0 1969
2225.0 1730
2235.0 756
2245.0 309
2255.0 248
2265.0 258
2275.0 192
2285.0 169
2295.0 130
2305.0 134
2315.0 118
2325.0 99
2335.0 110
2345.0 101
2355.0 111
2365.0 150
2375.0 141
2385.0 113
2395.0 109
2405.0 105
2415.0 68
2425.0 50
2435.0 33
2445.0 29
2455.0 36
2465.0 45
2475.0 37
2485.0 56
2495.0 52
2505.0 108
2515.0 95
2525.0 46
2535.0 24
2545.0 27
2555.0 20
2565.0 26
2575.0 24
2585.0 23
2595.0 22
2605.0 16
2615.0 20
2625.0 21
2635.0 15
2645.0 24
2655.0 19
2665.0 20
2675.0 20
2685.0 29
2695.0 31
2705.0 28
2715.0 28
2725.0 27
2735.0 25
2745.0 40
2755.0 28
2765.0 39
2775.0 41
2785.0 47
2795.0 39
2805.0 52
2815.0 52
2825.0 75
2835.0 84
2845.0 99
2855.0 156
2865.0 185
2875.0 223
2885.0 268
2895.0 265
2905.0 256
2915.0 193
2925.0 185
2935.0 134
2945.0 122
2955.0 93
2965.0 88
2975.0 66
2985.0 67
2995.0 63
3005.0 69
3015.0 91
3025.0 74
3035.0 76
3045.0 69
3055.0 90
3065.0 101
3075.0 92
3085.0 156
3095.0 342
3105.0 488
3115.0 415
3125.0 284
3135.0 185
3145.0 221
3155.0 276
3165.0 343
3175.0 384
3185.0 409
3195.0 407
3205.0 420
3215.0 398
3225.0 329
3235.0 356
3245.0 340
3255.0 366
3265.0 374
3275.0 467
3285.0 561
3295.0 829
3305.0 1159
3315.0 1675
3325.0 2146
3335.0 2265
3345.0 1872
3355.0 1445
3365.0 1362
3375.0 1179
3385.0 625
3395.0 316
3405.0 242
3415.0 215
3425.0 248
3435.0 351
3445.0 630
3455.0 879
3465.0 930
3475.0 626
3485.0 401
3495.0 243
3505.0 204
3515.0 157
3525.0 140
3535.0 157
3545.0 106
3555.0 115
3565.0 106
3575.0 84
3585.0 96
3595.0 83
3605.0 74
3615.0 85
3625.0 106
3635.0 99
3645.0 92
3655.0 66
3665.0 107
3675.0 112
3685.0 162
3695.0 153
3705.0 137
3715.0 146
3725.0 99
3735.0 77
3745.0 70
3755.0 65
3765.0 52
3775.0 49
3785.0 48
3795.0 30
3805.0 44
3815.0 35
3825.0 47
3835.0 46
3845.0 56
3855.0 52
3865.0 60
3875.0 65
3885.0 83
3895.0 83
3905.0 76
3915.0 79
3925.0 93
3935.0 131
3945.0 112
3955.0 107
3965.0 140
3975.0 130
3985.0 114
3995.0 116
4005.0 124
4015.0 156
4025.0 156
4035.0 213
4045.0 279
4055.0 399
4065.0 1568
4075.0 7877
4085.0 16019
4095.0 15084
4105.0 6395
4115.0 800
4125.0 184
4135.0 178
4145.0 143
4155.0 117
4165.0 85
4175.0 81
4185.0 91
4195.0 108
4205.0 107
4215.0 106
4225.0 83
4235.0 58
4245.0 39
4255.0 39
4265.0 27
4275.0 19
4285.0 32
4295.0 33
4305.0 36
4315.0 31
4325.0 42
4335.0 48
4345.0 76
4355.0 147
4365.0 260
4375.0 219
4385.0 122
4395.0 81
4405.0 66
4415.0 63
4425.0 69
4435.0 75
4445.0 47
4455.0 64
4465.0 36
4475.0 34
4485.0 49
4495.0 47
4505.0 46
4515.0 67
4525.0 59
4535.0 55
4545.0 53
4555.0 70
4565.0 78
4575.0 75
4585.0 98
4595.0 113
4605.0 180
4615.0 241
4625.0 316
4635.0 455
4645.0 548
4655.0 644
4665.0 487
4675.0 390
4685.0 277
4695.0 208
4705.0 170
4715.0 116
4725.0 109
4735.0 112
4745.0 95
4755.0 158
4765.0 222
4775.0 234
4785.0 160
4795.0 107
4805.0 50
4815.0 40
4825.0 19
4835.0 17
4845.0 11
4855.0 13
4865.0 11
4875.0 2
4885.0 11
4895.0 10
4905.0 11
4915.0 4
4925.0 13
4935.0 5
4945.0 9
4955.0 13
4965.0 9
4975.0 9
4985.0 15
4995.0 42
5005.0 30
5015.0 25
5025.0 28
5035.0 21
5045.0 23
5055.0 21
5065.0 28
5075.0 19
5085.0 26
5095.0 23
5105.0 30
5115.0 54
5125.0 99
5135.0 169
5145.0 273
5155.0 248
5165.0 175
5175.0 99
5185.0 53
5195.0 32
5205.0 31
5215.0 35
5225.0 48
5235.0 59
5245.0 41
5255.0 55
5265.0 35
5275.0 27
5285.0 33
5295.0 43
5305.0 18
5315.0 35
5325.0 35
5335.0 33
5345.0 51
5355.0 54
5365.0 80
5375.0 249
5385.0 1228
5395.0 2876
5405.0 3340
5415.0 2248
5425.0 613
5435.0 75
5445.0 43
5455.0 30
5465.0 40
5475.0 30
5485.0 28
5495.0 47
5505.0 34
5515.0 33
5525.0 35
5535.0 27
5545.0 20
5555.0 28
5565.0 15
5575.0 11
5585.0 13
