# E1 E2 Theta
3.629604187073589856e+03 1.163278261151797551e+03 1.335710687547696693e+02
2.524237210571862306e+03 2.135680722144955325e+03 1.098454479922600342e+02
2.710690923814427151e+03 1.378533669844980523e+03 2.091180791810561956e+01
1.830003075861944126e+03 2.571075803336198533e+03 1.268449742106562184e+02
4.450913288610172458e+03 1.601266680750424257e+03 1.675491160656322620e+02
2.605702893864856378e+03 1.750280106882153632e+03 1.232500829203754193e+02
2.116324612946447814e+03 1.803555187066441704e+03 9.414709970649543891e+01
1.432517281118545043e+03 1.770441088899957549e+03 8.353464002927265142e+01
2.259982787670553535e+03 1.027224675663499738e+03 8.072953635989910026e+01
2.709254435203303728e+03 1.499301778038002794e+03 1.215088450324420535e+02
2.941388446443131215e+03 1.068009334652851521e+03 7.827356651488436512e+01
2.288464004594220569e+03 1.508642852417864788e+03 5.828467250287459933e+01
6.459338386660396282e+03 6.829654612844065014e+02 1.742077075994949382e+02
3.424678296291671813e+03 2.600827922438909354e+03 1.608638371472028439e+02
3.394048656378984106e+03 1.149255697492599438e+03 4.849801703620089910e+01
3.483656096892952519e+03 2.605789249338324225e+03 1.488903921053961028e+02
9.305901324251094593e+02 4.774488395111302452e+03 7.064729223180269457e+01
1.617310778412441550e+03 1.523916436806756792e+03 3.337688252539028610e+01
2.803748725554213252e+03 2.022818551672816739e+03 9.066254621212701181e+01
1.368009107558756114e+03 1.945224746773174047e+03 8.914291418825365554e+01
3.025142664022527697e+03 1.551842160614898376e+03 8.568823501641543317e+01
1.102193211802198903e+03 1.937948722486947645e+03 1.160434045448701994e+02
1.421902276217149847e+03 1.163170574612773407e+03 9.084661068166150244e+01
2.968472407791439309e+03 1.324176994827784256e+03 1.273425575982499396e+02
1.858944051506801316e+03 1.362373355310879788e+03 4.236323019380043320e+01
2.102765772575515257e+03 1.215103983756605885e+03 1.085342840661711250e+02
2.657884042758180385e+03 1.546006312147590961e+03 1.586585240171254725e+02
2.571642747454923665e+03 2.539272104300310730e+03 1.516673168716020825e+02
2.402674636260404895e+03 3.331064350612232374e+03 7.818003357824146349e+01
1.171521195099705437e+03 1.657970492485917930e+03 5.172279592327469544e+01
1.994055771990502762e+03 1.232028051913986474e+03 7.657336694087031503e+01
1.892716726995988211e+03 1.891111409056077036e+03 1.804367861968182751e+01
2.754416970142455284e+03 1.564230148033758724e+03 1.711376715232091783e+02
2.804915506824053409e+03 1.905513705024887258e+03 1.370919744826050533e+02
1.189859547121292735e+03 2.098926023741836161e+03 7.464201832944860371e+01
1.095624251352560805e+03 2.995776761814779093e+03 2.472991371029342389e+01
2.114719449535394233e+03 1.865053127895672333e+03 1.085404460626993313e+02
3.062673220001085156e+03 1.916452960650765363e+03 1.415926191226320725e+02
1.271102103937394531e+03 1.404907344885171369e+03 8.593682076439547401e+00
1.810531803006892005e+03 1.565215762680996477e+03 4.921380781746519517e+01
2.970575035995394501e+03 1.093855854419192156e+03 1.160775552730239042e+02
1.935582940152027049e+03 1.243823884952540766e+03 4.084979227046962080e+01
6.257665037022921979e+02 6.222163534215130767e+02 2.614229618778206188e+01
6.335894726480970576e+02 7.799298546108304890e+02 2.025366834475697786e+01
7.751820076139621278e+02 6.409327277283319972e+02 2.902485591412219890e+01
7.669087960067084850e+02 6.365274725551300889e+02 2.915678044126280000e+01
2.219476591604137411e+03 2.029866566203141247e+03 7.396616290634575819e+01
2.455327098459282297e+03 1.846753535660385523e+03 9.685213423840822600e+01
2.757479397276501913e+03 1.740818035396574942e+03 1.570558942613582758e+02
2.096604591855422768e+03 1.222557338958225046e+03 3.472557184926743190e+01
2.641094189106158410e+03 3.140077702559112822e+03 6.840108182653276003e+01
2.124941567860179020e+03 1.351679980210990152e+03 1.459578510019102850e+02
4.522883099488152766e+03 1.026760169922130899e+03 2.591938807318637217e+01
2.811315895606661343e+03 1.111516105183337686e+03 1.093602493143157659e+02
3.241519696556470535e+03 1.190000865452849439e+03 9.255244891536429463e+01
4.474716774132832143e+03 1.589964913287285981e+03 1.630090362186034554e+02
4.809035810052399938e+03 1.140127936656579095e+03 1.299536560750692900e+02
3.406090782527076044e+03 2.601586415751126879e+03 1.168130040396808056e+02
1.607685828588914092e+03 2.460285222799522671e+03 2.083913521580206307e+01
1.276173325875038245e+03 1.606215213725672129e+03 1.012762999391743222e+02
3.059903914438320498e+03 1.196246227800354063e+03 9.677201566291056167e+01
1.647705017083119401e+03 1.905280729670848814e+03 1.423889273586480897e+02
1.048094223484083386e+03 1.292245794713809119e+03 1.535583685214355967e+02
1.752873497471765177e+03 1.978560984346611349e+03 1.477216509325572531e+02
1.478874080728076251e+03 2.386295210452979973e+03 1.485809164968842424e+02
2.588913020000719825e+03 1.513501162379309335e+03 1.537497303512821816e+02
2.950396517912203763e+03 2.313883309563982948e+03 7.044100543127079561e+01
2.319478479504250572e+03 1.403462838942900362e+03 9.441288751135472523e+01
1.822633517707174860e+03 2.364990690098856703e+03 7.228490962872214709e+01
3.596108805689398650e+03 1.543441510811748458e+03 1.500758771633188076e+02
2.631389406144221084e+03 3.239279554433731391e+03 1.038685827473678529e+02
2.351437694374728835e+03 1.285015634278469861e+03 6.681076076536999153e+01
6.290118006280534928e+02 6.198903990751319952e+02 2.886448032808499420e+01
1.965817977598803964e+03 2.224280450138013748e+03 1.374385283481177922e+01
1.528062272476441876e+03 2.018470292737336877e+03 1.606806236371421051e+02
6.271884844340430618e+02 6.163264455366312404e+02 2.799640669815170213e+01
7.533061043942934702e+02 6.352607917356680218e+02 2.749125813982519517e+01
2.849251620853668555e+03 1.638560563118027176e+03 1.385048209097826089e+02
3.923186341117675056e+03 1.030487765702788238e+03 8.509506618608746464e+01
2.739922293081447606e+03 1.424019843729638069e+03 6.927486362845803569e+01
2.765233695630156035e+03 3.309264512883833959e+03 1.170973502949707523e+02
2.605299951065882397e+03 3.162889950836291973e+03 9.059980055950697420e+01
3.119569479335564210e+03 1.866520753418649974e+03 6.818708485110009576e+01
4.669381774163363843e+03 1.067234580385164463e+03 4.320979484496513834e+01
3.555703503975508283e+03 2.612391951052552486e+03 1.560323388013104875e+02
1.378160639274456798e+03 1.326346793354203783e+03 1.138974898419171495e+02
1.563129328274347245e+03 1.637086140181419523e+03 9.241685370700920998e+01
2.437232169617209820e+03 8.795548160393419721e+02 8.858374755064095041e+01
4.795870686025197756e+03 1.057183545690908659e+03 8.742291205114629804e+01
3.240615631666105855e+03 1.337107604715478146e+03 8.304303253131774909e+01
3.016821013787685843e+03 1.256173093870999310e+03 8.290112993495544913e+01
2.840492522349617957e+03 1.361787471164074077e+03 8.834183153418325674e+01
2.909348371596967354e+03 1.622744749966692325e+03 4.335163402187956194e+01
4.461358854505181625e+03 1.590310904301731171e+03 1.644392070501723992e+02
3.286878479024900571e+03 1.841167965152409579e+03 1.430331611968090897e+02
2.779141123251008139e+03 1.188545250531088641e+03 1.370955452356346598e+02
2.029227468860510726e+03 1.375907075216835210e+03 1.270544235287776189e+02
1.142793200229901231e+03 1.676415405897669189e+03 1.186420237001425022e+02
1.834775717659657403e+03 1.938472185671679654e+03 2.769173634357445479e+01
3.078587008267061719e+03 1.713952711410790471e+03 8.668215322198669526e+01
5.120583334712061514e+03 1.165377045448739864e+03 3.108752586403714702e+01
1.257781323875466114e+03 2.005739428625759729e+03 8.707396612547336190e+01
3.232757707105107329e+03 9.599025992254688617e+02 9.857930523506904308e+01
2.536613614246747147e+03 1.158814417302844049e+03 1.313078482159648388e+02
2.175319003893269837e+03 1.033707534368507368e+03 8.289707907531575870e+01
2.948581000693369788e+03 1.470198212552308405e+03 1.287261596845041254e+02
4.051580244405673966e+03 1.720643386481056041e+03 8.054970068601650723e+01
1.678764204926510274e+03 1.048426474920900773e+03 8.951287294219804380e+01
3.324372795756180949e+03 7.402985243253574481e+02 9.890034003736545287e+01
1.038360430978078284e+03 1.711579068454239859e+03 1.771720737281814593e+02
2.326743717875291168e+03 1.847267251392719118e+03 5.957505946339284719e+01
2.914100759899885816e+03 1.959850818242721289e+03 1.074603121426857655e+02
1.488803497078152077e+03 1.858531065429356204e+03 1.457655564393252234e+02
