# Tue Jun  3 09:20:58 2025
# Output created from within /home/haue/repositories/Masters/build with the following command
# ./calibration/ucal/printEnergyCorrections -s ../setup/setup.json -t ../setup/target.json -d U1,U2,U3,U6 -E 4089.18 -i 17 
# Setup:          ../setup/setup.json
# Target:         ../setup/target.json
# Source point:   (0, 0, -0.300054)
# Energies (keV): 4089.18 
# Detector=U1	FRONT STRIPS 2..15
4086.97	# 2
4087.01	# 3
4087.05	# 4
4087.07	# 5
4087.09	# 6
4087.1	# 7
4087.09	# 8
4087.07	# 9
4087.03	# 10
4086.98	# 11
4086.91	# 12
4086.82	# 13
4086.7	# 14
4086.55	# 15
# Detector=U1	BACK STRIPS 2..15
4086.68	# 2
4086.75	# 3
4086.81	# 4
4086.87	# 5
4086.91	# 6
4086.94	# 7
4086.96	# 8
4086.98	# 9
4086.98	# 10
4086.97	# 11
4086.94	# 12
4086.91	# 13
4086.87	# 14
4086.82	# 15

# Detector=U2	FRONT STRIPS 2..15
4078.86	# 2
4080.26	# 3
4081.31	# 4
4082.12	# 5
4082.75	# 6
4083.25	# 7
4083.65	# 8
4083.96	# 9
4084.21	# 10
4084.4	# 11
4084.55	# 12
4084.65	# 13
4084.73	# 14
4084.77	# 15
# Detector=U2	BACK STRIPS 2..15
4083.05	# 2
4083.22	# 3
4083.37	# 4
4083.49	# 5
4083.6	# 6
4083.68	# 7
4083.73	# 8
4083.76	# 9
4083.76	# 10
4083.74	# 11
4083.68	# 12
4083.61	# 13
4083.51	# 14
4083.38	# 15

# Detector=U3	FRONT STRIPS 2..15
4084.79	# 2
4084.79	# 3
4084.77	# 4
4084.73	# 5
4084.65	# 6
4084.55	# 7
4084.4	# 8
4084.21	# 9
4083.96	# 10
4083.65	# 11
4083.25	# 12
4082.75	# 13
4082.12	# 14
4081.31	# 15
# Detector=U3	BACK STRIPS 2..15
4082.81	# 2
4082.99	# 3
4083.14	# 4
4083.28	# 5
4083.39	# 6
4083.47	# 7
4083.53	# 8
4083.56	# 9
4083.56	# 10
4083.53	# 11
4083.48	# 12
4083.4	# 13
4083.29	# 14
4083.16	# 15

# Detector=U6	FRONT STRIPS 2..15
4085.23	# 2
4078.92	# 3
4076.89	# 4
4075.63	# 5
4074.66	# 6
4073.85	# 7
4073.16	# 8
4072.56	# 9
4072.06	# 10
4071.67	# 11
4071.36	# 12
4071.15	# 13
4071.06	# 14
4071.44	# 15
# Detector=U6	BACK STRIPS 2..15
4085.18	# 2
4078.95	# 3
4076.96	# 4
4075.73	# 5
4074.79	# 6
4074	# 7
4073.31	# 8
4072.7	# 9
4072.17	# 10
4071.74	# 11
4071.41	# 12
4071.17	# 13
4071.07	# 14
4071.45	# 15

