============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(2,99 MeV) ==> Silicon(  52 um) =========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  1 ,1647104E+07   5200000E-01  ,2469E+06  ,8423E+04   ,8896013  ,4560253  ,0255042
T    2  1 ,1572473E+07   5200009E-01  ,2430E+06 -,1127E+05   ,8850579  ,4637703 -,0398705
T    3  1 ,1699536E+07   5200009E-01  ,2283E+06 -,1608E+05   ,9090734  ,4161500 -,0201156
T    4  1 ,1715240E+07   5200007E-01  ,2456E+06 -,5566E+04   ,8986046  ,4294302 -,0899972
T    5  1 ,1611584E+07   5200017E-01  ,2416E+06  ,3899E+04   ,9017526  ,4322400 -,0032932
T    6  1 ,1571087E+07   5200023E-01  ,2427E+06  ,7862E+04   ,8997411  ,4364196  ,0019581
T    7  1 ,1660414E+07   5200017E-01  ,2417E+06  ,1016E+05   ,8968042  ,4423531  ,0081194
T    8  1 ,1611011E+07   5200000E-01  ,2363E+06  ,7346E+04   ,9142503  ,4051035 -,0061233
T    9  1 ,1701960E+07   5200021E-01  ,2431E+06 -,7886E+04   ,8824702  ,4638914 -,0777885
T   10  1 ,1662281E+07   5200022E-01  ,2715E+06 -,1311E+05   ,8688664  ,4949573 -,0093985
T   11  1 ,1687719E+07   5200007E-01  ,2444E+06  ,2110E+04   ,9166248  ,3992331  ,0202956
T   12  1 ,1658986E+07   5200010E-01  ,2318E+06  ,1780E+04   ,9104380  ,4132285  ,0185713
T   13  1 ,1678777E+07   5200008E-01  ,2158E+06  ,2395E+04   ,9334653  ,3586584  ,0025872
T   14  1 ,1698796E+07   5200022E-01  ,2410E+06  ,5086E+04   ,9032113  ,4291962  ,0001308
T   15  1 ,1659437E+07   5200020E-01  ,2375E+06  ,1024E+05   ,9044695  ,4251457  ,0344382
T   16  1 ,1666570E+07   5200001E-01  ,2492E+06  ,2635E+04   ,9018859  ,4319478  ,0047930
T   17  1 ,1626049E+07   5200012E-01  ,2321E+06  ,5278E+04   ,9096122  ,4153663 -,0087445
T   18  1 ,1514966E+07   5200004E-01  ,3085E+06  ,2374E+05   ,8353711  ,5488705  ,0299372
T   19  1 ,1612695E+07   5200024E-01  ,2554E+06 -,1177E+04   ,8859842  ,4637144 -,0009363
T   20  1 ,1543761E+07   5200019E-01  ,2634E+06  ,7193E+04   ,8827861  ,4690358 -,0263476
T   21  1 ,1618077E+07   5200002E-01  ,2407E+06 -,2550E+05   ,9149624  ,3984791 -,0637047
T   22  1 ,1599297E+07   5200006E-01  ,2632E+06  ,1152E+05   ,8882148  ,4583764  ,0310731
T   23  1 ,1565164E+07   5200021E-01  ,2594E+06 -,5995E+04   ,8929970  ,4499956  ,0077706
T   24  1 ,1710881E+07   5200013E-01  ,2291E+06  ,1223E+05   ,9099070  ,4129043  ,0397398
T   25  1 ,1635960E+07   5200024E-01  ,2539E+06  ,8852E+04   ,9057267  ,4238617  ,0005734
T   26  1 ,1609267E+07   5200014E-01  ,2583E+06  ,8771E+04   ,8720382  ,4859406  ,0584054
T   27  1 ,1575424E+07   5200023E-01  ,2447E+06 -,1428E+05   ,9055806  ,4210349 -,0515107
T   28  1 ,1629633E+07   5200013E-01  ,2572E+06 -,4178E+04   ,8829181  ,4693616 -,0124625
T   29  1 ,1719902E+07   5200007E-01  ,2410E+06 -,3970E+04   ,9160758  ,3979607  ,0493192
T   30  1 ,1552626E+07   5200023E-01  ,2780E+06 -,2384E+05   ,8877095  ,4520221 -,0874526
T   31  1 ,1732238E+07   5200024E-01  ,2462E+06  ,9351E+04   ,8927837  ,4492229 -,0337061
T   32  1 ,1580462E+07   5200023E-01  ,2452E+06  ,1540E+05   ,9102944  ,4139512  ,0029054
T   33  1 ,1652096E+07   5200019E-01  ,2263E+06 -,1415E+05   ,9232877  ,3770183 -,0734648
T   34  1 ,1656604E+07   5200006E-01  ,2344E+06  ,1161E+05   ,8992852  ,4293629  ,0832680
T   35  1 ,1624708E+07   5200014E-01  ,2407E+06 -,3537E+05   ,9087914  ,3935316 -,1386763
T   36  1 ,1563834E+07   5200007E-01  ,2394E+06  ,5740E+04   ,9071985  ,4197002  ,0290282
T   37  1 ,1579759E+07   5200023E-01  ,2580E+06  ,1925E+05   ,8787937  ,4708691  ,0774851
T   38  1 ,1614254E+07   5200013E-01  ,2238E+06 -,3111E+05   ,9315954  ,3467537 -,1090497
T   39  1 ,1690208E+07   5200014E-01  ,2314E+06  ,2675E+05   ,9148073  ,3715695  ,1583153
T   40  1 ,1706830E+07   5200012E-01  ,2402E+06 -,5940E+04   ,8940676  ,4477563 -,0125450
T   41  1 ,1649968E+07   5200023E-01  ,2532E+06  ,1156E+04   ,8871120  ,4614977 -,0072245
