============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(4,09 MeV) ==> Silicon( 53.5 um) ========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  1 ,3183246E+07   5350018E-01 -,5163E+04 -,1141E+04   ,9997146 -,0106044 -,0214079
T    2  1 ,3204271E+07   5350018E-01  ,1862E+05 -,1659E+04   ,9995187  ,0171578 -,0258470
T    3  1 ,3196480E+07   5350008E-01 -,4163E+05 -,7461E+04   ,9954357 -,0834198 -,0463552
T    4  1 ,3110509E+07   5350026E-01 -,1794E+05  ,1069E+05   ,9972177 -,0698049  ,0261547
T    5  1 ,3136860E+07   5350005E-01 -,6672E+04  ,1303E+05   ,9988260 -,0286920  ,0390306
T    6  1 ,3195914E+07   5350011E-01 -,7907E+04  ,2572E+04   ,9990314 -,0439608  ,0019143
T    7  1 ,3177184E+07   5350025E-01  ,1122E+04 -,5078E+04   ,9998736  ,0007700 -,0158834
T    8  1 ,3126893E+07   5350024E-01 -,8600E+04 -,8339E+04   ,9975228 -,0281951 -,0644467
T    9  1 ,3109780E+07   5350003E-01 -,2877E+04  ,2238E+04   ,9998248 -,0186287  ,0018448
T   10  1 ,3135490E+07   5350012E-01  ,2033E+04  ,1411E+04   ,9998282  ,0159206  ,0094907
T   11  1 ,3183066E+07   5350014E-01  ,5174E+04 -,9105E+04   ,9994278  ,0152314 -,0302011
T   12  1 ,3250628E+07   5350003E-01  ,9230E+04  ,5972E+04   ,9995651  ,0155403  ,0250640
T   13  1 ,3173146E+07   5350010E-01 -,4528E+04 -,5124E+04   ,9994306 -,0168839 -,0292115
T   14  1 ,3141717E+07   5350012E-01 -,4575E+04 -,9150E+04   ,9996394 -,0235633 -,0128756
T   15  1 ,3127469E+07   5350023E-01  ,8284E+04 -,2635E+04   ,9993452  ,0266489 -,0244738
T   16  1 ,3229450E+07   5350020E-01  ,8688E+04  ,1130E+05   ,9974370  ,0574771  ,0426120
T   17  1 ,3156477E+07   5350004E-01 -,3052E+04  ,1571E+05   ,9987573 -,0098967  ,0488464
T   18  1 ,3194009E+07   5350004E-01 -,5751E+04 -,8342E+04   ,9989693 -,0316994 -,0324882
T   19  1 ,3226118E+07   5350024E-01 -,3406E+04  ,1224E+05   ,9976661 -,0342424  ,0590754
T   20  1 ,3230735E+07   5350025E-01 -,1260E+05  ,3950E+04   ,9991620 -,0358020  ,0198383
T   21  1 ,3178673E+07   5350005E-01 -,8128E+04 -,1629E+04   ,9997754 -,0210732  ,0022368
T   22  1 ,3187852E+07   5350006E-01  ,8884E+04 -,5882E+04   ,9990029  ,0401262 -,0195724
T   23  1 ,3162220E+07   5350015E-01  ,1763E+04  ,3590E+04   ,9997830 -,0059572  ,0199607
T   24  1 ,3193308E+07   5350022E-01  ,5772E+04  ,8146E+04   ,9992780  ,0305283  ,0226168
T   25  1 ,3183547E+07   5350006E-01 -,8672E+04  ,3022E+03   ,9997873 -,0198912  ,0054474
T   26  1 ,3138180E+07   5350017E-01 -,1929E+04 -,1559E+04   ,9999610 -,0077856  ,0041750
T   27  1 ,3200889E+07   5350024E-01 -,1290E+05  ,5815E+04   ,9979838 -,0596271  ,0217487
T   28  1 ,3194383E+07   5350000E-01 -,5822E+04  ,1429E+04   ,9999116  ,0055522  ,0120779
T   29  1 ,3166209E+07   5350006E-01 -,6486E+04  ,8326E+04   ,9999637 -,0047957  ,0070369
T   30  1 ,3166749E+07   5350020E-01  ,7993E+02  ,4067E+02   ,9999113 -,0131691  ,0019986
T   31  1 ,3153838E+07   5350010E-01  ,1419E+05 -,1847E+04   ,9991247  ,0342571 -,0240066
T   32  1 ,3156627E+07   5350022E-01 -,7785E+04 -,1152E+05   ,9995467 -,0107830 -,0281083
T   33  1 ,3136758E+07   5350019E-01  ,4461E+04 -,5848E+04   ,9993574  ,0103583 -,0343151
T   34  1 ,3150787E+07   5350011E-01  ,8067E+04 -,9604E+04   ,9992892  ,0172082 -,0335409
T   35  1 ,3179133E+07   5350020E-01  ,1509E+04 -,4454E+04   ,9995139  ,0145654 -,0275663
T   36  1 ,3231067E+07   5350014E-01  ,1404E+04 -,8162E+04   ,9982018 -,0303522 -,0516898
T   37  1 ,3151008E+07   5350024E-01 -,4782E+04  ,1005E+04   ,9996715 -,0255588 -,0019020
T   38  1 ,3190746E+07   5350021E-01  ,3499E+03  ,1193E+05   ,9986644 -,0008241  ,0516606
T   39  1 ,3158401E+07   5350018E-01 -,7059E+04  ,7580E+04   ,9996216 -,0274579  ,0016781
T   40  1 ,3090175E+07   5350020E-01 -,3747E+04  ,1940E+05   ,9978735 -,0100596  ,0643990
T   41  1 ,3160468E+07   5350005E-01 -,2725E+04  ,6332E+04   ,9996940 -,0144118  ,0201058
T   42  1 ,3137486E+07   5350016E-01  ,4414E+03  ,5863E+03   ,9995059  ,0216079  ,0228270
T   43  1 ,3167237E+07   5350023E-01 -,5116E+04 -,2193E+04   ,9999359  ,0002599  ,0113166
T   44  1 ,3180479E+07   5350010E-01 -,3700E+04 -,7251E+04   ,9993012 -,0111026 -,0356902
T   45  1 ,3126673E+07   5350026E-01  ,3913E+04  ,2216E+04   ,9998812  ,0079554  ,0131994
T   46  1 ,3156249E+07   5350022E-01 -,1228E+03 -,9113E+01   ,9999527 -,0013006  ,0096357
T   47  1 ,3169220E+07   5350025E-01  ,4373E+04 -,1792E+04   ,9997300  ,0231561 -,0019393
T   48  1 ,3177176E+07   5350022E-01  ,1924E+04 -,2510E+04   ,9999587 -,0046587 -,0078016
T   49  1 ,3156312E+07   5350010E-01  ,1027E+05  ,8901E+04   ,9992339  ,0282175  ,0271170
