============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(5,41 MeV) ==> Silicon( 68.3 um) ========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  1 ,4482033E+07   6830021E-01 -,5705E+04 -,1024E+04   ,9999071 -,0057888 -,0123367
T    2  1 ,4501159E+07   6830014E-01  ,1990E+05 -,2047E+04   ,9992931 -,0027178 -,0374954
T    3  1 ,4473571E+07   6830014E-01  ,4378E+01 -,1926E+04   ,9999247 -,0120077 -,0025407
T    4  1 ,4481407E+07   6830002E-01  ,4472E+04 -,4430E+04   ,9999120  ,0119881  ,0056888
T    5  1 ,4552014E+07   6830026E-01  ,3149E+04 -,6635E+04   ,9998145  ,0166501 -,0096833
T    6  1 ,4470830E+07   6830001E-01 -,2548E+05 -,1156E+05   ,9979717 -,0608927 -,0185637
T    7  1 ,4502997E+07   6830023E-01  ,1547E+04 -,5936E+04   ,9998369 -,0050036 -,0173537
T    8  1 ,4474980E+07   6830018E-01  ,6991E+04  ,3789E+04   ,9998877  ,0146404  ,0032151
T    9  1 ,4443697E+07   6830021E-01  ,2265E+04  ,6771E+04   ,9999528 -,0035968  ,0090301
T   10  1 ,4435145E+07   6830019E-01  ,1990E+04  ,1388E+04   ,9999288  ,0114744 -,0032805
T   11  1 ,4509038E+07   6830012E-01 -,3539E+04 -,5827E+04   ,9997502  ,0023329 -,0222266
T   12  1 ,4445044E+07   6830014E-01 -,3670E+04 -,1367E+05   ,9990155 -,0163854 -,0412245
