============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(2,99 MeV) ==> Silicon(  53 um) =========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  1 ,1777166E+07   5300018E-01 -,7797E+04 -,5169E+04   ,9987565 -,0228837 -,0442926
T    2  1 ,1728955E+07   5300008E-01  ,2046E+05  ,5030E+04   ,9943663  ,1059769 -,0021346
T    3  1 ,1806485E+07   5300006E-01  ,6932E+04  ,2102E+05   ,9969730 -,0055520  ,0775502
T    4  1 ,1746364E+07   5300027E-01 -,1932E+05 -,1005E+04   ,9992806 -,0347797  ,0151184
T    5  1 ,1754605E+07   5300026E-01 -,6800E+03 -,3561E+04   ,9993924 -,0340464 -,0074566
T    6  1 ,1882065E+07   5300027E-01 -,4123E+04 -,1081E+05   ,9988180 -,0257190 -,0412445
T    7  1 ,1727336E+07   5300007E-01  ,8966E+04  ,1054E+05   ,9988575  ,0463961  ,0114467
T    8  1 ,1779237E+07   5300000E-01 -,1473E+05 -,2402E+03   ,9985158 -,0535566  ,0098921
T    9  1 ,1820733E+07   5300015E-01  ,1504E+05  ,3402E+04   ,9936330  ,1087753 -,0293478
T   10  1 ,1779314E+07   5300014E-01 -,1396E+04  ,3292E+04   ,9990011 -,0348055 -,0280256
T   11  1 ,1831829E+07   5300019E-01 -,4708E+04  ,4811E+04   ,9999542 -,0069812 -,0065420
T   12  1 ,1771436E+07   5300025E-01 -,5540E+04 -,1061E+05   ,9999008 -,0138030 -,0028058
T   13  1 ,1762735E+07   5300016E-01  ,3918E+05  ,3330E+05   ,9871347  ,1305540  ,0923076
T   14  1 ,1815136E+07   5300016E-01  ,8619E+04 -,4137E+04   ,9989088  ,0426678 -,0189903
T   15  1 ,1737977E+07   5300027E-01 -,1951E+05  ,3351E+04   ,9964423 -,0801580  ,0260270
T   16  1 ,1709728E+07   5300013E-01  ,1269E+05 -,1757E+05   ,9935567  ,0759533 -,0841204
T   17  1 ,1769918E+07   5300019E-01 -,6205E+04  ,1004E+05   ,9985763 -,0107730  ,0522432
T   18  1 ,1781521E+07   5300011E-01 -,7827E+04 -,9086E+03   ,9990995 -,0328811 -,0268150
T   19  1 ,1757136E+07   5300015E-01  ,1161E+05  ,5462E+02   ,9983854  ,0566881  ,0036214
T   20  1 ,1758904E+07   5300024E-01  ,4302E+05 -,1186E+06   ,9519859  ,1055696 -,2873638
T   21  1 ,1739860E+07   5300020E-01  ,2592E+04  ,1532E+05   ,9996314  ,0158728  ,0220237
T   22  1 ,1791281E+07   5300022E-01 -,1665E+04  ,1627E+04   ,9960222 -,0877836  ,0152897
T   23  1 ,1780104E+07   5300024E-01 -,1610E+05  ,4125E+04   ,9982766 -,0580308 -,0087345
T   24  1 ,1759855E+07   5300020E-01  ,1067E+05  ,2245E+05   ,9974228  ,0364555  ,0617967
T   25  1 ,1716745E+07   5300002E-01  ,4160E+03  ,1719E+05   ,9963231  ,0244666  ,0821071
T   26  1 ,1784585E+07   5300001E-01 -,5416E+04  ,7581E+04   ,9993310 -,0188614  ,0313333
T   27  1 ,1795836E+07   5300008E-01  ,1370E+04  ,7115E+04   ,9995465  ,0293956 -,0065263
T   28  1 ,1764877E+07   5300001E-01  ,1837E+04  ,1919E+05   ,9978365  ,0191729  ,0628872
T   29  1 ,1733147E+07   5300020E-01 -,2910E+04  ,3380E+04   ,9992810 -,0275087  ,0260931
T   30  1 ,1815782E+07   5300024E-01 -,4146E+04 -,3335E+04   ,9997256  ,0057913 -,0226983
T   31  1 ,1808583E+07   5300014E-01 -,2358E+05 -,6950E+04   ,9971520 -,0720838  ,0221752
T   32  1 ,1743368E+07   5300002E-01  ,1639E+04  ,7536E+04   ,9997472  ,0223371  ,0025489
T   33  1 ,1794014E+07   5300007E-01 -,3863E+04  ,2859E+04   ,9998769 -,0155513 -,0020647
T   34  1 ,1798540E+07   5300011E-01 -,2434E+04 -,1508E+05   ,9971211 -,0400786 -,0643684
T   35  1 ,1739673E+07   5300016E-01  ,9748E+04 -,7930E+04   ,9997756  ,0208558  ,0037022
T   36  1 ,1795827E+07   5300025E-01  ,1115E+04 -,3255E+04   ,9998299 -,0087844 -,0162180
T   37  1 ,1760889E+07   5300011E-01 -,2491E+04 -,9335E+04   ,9987295 -,0101716 -,0493558
T   38  1 ,1757641E+07   5300023E-01  ,4645E+04 -,8756E+04   ,9995085  ,0012311 -,0313232
T   39  1 ,1761465E+07   5300023E-01  ,1268E+05 -,4728E+04   ,9908674  ,1303962  ,0343301
T   40  1 ,1757117E+07   5300026E-01 -,2800E+04  ,1423E+05   ,9991250 -,0020114  ,0417754
T   41  1 ,1759399E+07   5300014E-01 -,2542E+04  ,8803E+03   ,9976408 -,0398286 -,0559155
T   42  1 ,1766003E+07   5300014E-01 -,2207E+05 -,3242E+04   ,9949624 -,0943923 -,0337638
T   43  1 ,1726105E+07   5300018E-01 -,1592E+05 -,1233E+05   ,9970839 -,0725154 -,0237757
T   44  1 ,1790619E+07   5300019E-01 -,6066E+04  ,2050E+05   ,9973042 -,0294479  ,0672097
T   45  1 ,1739809E+07   5300022E-01  ,4840E+04  ,1470E+05   ,9986978  ,0283645  ,0424057
T   46  1 ,1790430E+07   5300024E-01 -,6078E+04 -,1636E+05   ,9977302 -,0382412 -,0554253
T   47  1 ,1767710E+07   5300004E-01 -,7420E+04  ,5043E+04   ,9947781 -,0602779  ,0823594
T   48  1 ,1774705E+07   5300026E-01 -,2555E+05  ,1057E+05   ,9923184 -,1150756  ,0454070
