============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(4,09 MeV) ==> Silicon( 52.5 um) ========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  1 ,3159960E+07   5250017E-01  ,1427E+06  ,5928E+04   ,9669905  ,2545088  ,0124350
T    2  1 ,3175892E+07   5250008E-01  ,1577E+06 -,3868E+03   ,9586022  ,2778340 -,0623711
T    3  1 ,3169414E+07   5250004E-01  ,1312E+06 -,7377E+04   ,9699799  ,2421301 -,0226267
T    4  1 ,3175871E+07   5250012E-01  ,1364E+06  ,1814E+03   ,9688812  ,2464484  ,0230716
T    5  1 ,3154523E+07   5250015E-01  ,1389E+06 -,7773E+04   ,9686981  ,2462261 -,0315701
T    6  1 ,3211115E+07   5250025E-01  ,1496E+06 -,3099E+04   ,9563824  ,2920431 -,0066029
T    7  1 ,3188444E+07   5250026E-01  ,1431E+06 -,6396E+04   ,9647620  ,2624802 -,0183986
T    8  1 ,3199914E+07   5250010E-01  ,1231E+06 -,6897E+03   ,9829210  ,1839359 -,0058215
T    9  1 ,3074795E+07   5250002E-01  ,1334E+06 -,1902E+05   ,9719213  ,2251696 -,0683194
T   10  1 ,3224839E+07   5250012E-01  ,1381E+06  ,9487E+04   ,9719191  ,2331488  ,0318569
T   11  1 ,3180096E+07   5250000E-01  ,1473E+06 -,3472E+04   ,9555352  ,2948771 -,0000658
T   12  1 ,3127398E+07   5250010E-01  ,1526E+06 -,1200E+04   ,9511557  ,3087111 -,0004263
T   13  1 ,3108163E+07   5250023E-01  ,1479E+06  ,1196E+05   ,9581349  ,2857507  ,0180029
T   14  1 ,3095478E+07   5250023E-01  ,1512E+06 -,5577E+04   ,9603509  ,2784100 -,0146275
T   15  1 ,3133683E+07   5250016E-01  ,1337E+06 -,1177E+04   ,9790273  ,1882327  ,0779362
T   16  1 ,3240681E+07   5250025E-01  ,1366E+06 -,4258E+04   ,9716132  ,2363359 -,0106329
T   17  1 ,3143897E+07   5250020E-01  ,1391E+06  ,1153E+04   ,9658575  ,2590387 -,0042719
T   18  1 ,3181927E+07   5250024E-01  ,1239E+06  ,3149E+04   ,9761619  ,2159052  ,0222004
T   19  1 ,3146121E+07   5250017E-01  ,1515E+06 -,6620E+04   ,9585321  ,2838466 -,0254402
T   20  1 ,3178586E+07   5250008E-01  ,1320E+06 -,6693E+03   ,9669513  ,2549519 -,0021672
T   21  1 ,3175711E+07   5250024E-01  ,1349E+06  ,1191E+04   ,9693433  ,2450800  ,0175878
T   22  1 ,3167261E+07   5250019E-01  ,1474E+06 -,1585E+04   ,9630835  ,2691711  ,0041475
T   23  1 ,3171793E+07   5250020E-01  ,1378E+06 -,1815E+04   ,9675404  ,2520648 -,0181335
T   24  1 ,3153877E+07   5250015E-01  ,1391E+06  ,7415E+04   ,9676412  ,2514956  ,0205034
T   25  1 ,3152611E+07   5250019E-01  ,1447E+06  ,5732E+04   ,9710620  ,2384504  ,0134130
T   26  1 ,3164119E+07   5250020E-01  ,1307E+06 -,3650E+04   ,9708340  ,2381569 -,0276168
T   27  1 ,3153288E+07   5250018E-01  ,1431E+06  ,3964E+04   ,9460606  ,3239044 -,0074340
T   28  1 ,3154077E+07   5250021E-01  ,1416E+06 -,1677E+04   ,9670960  ,2543925 -,0031268
T   29  1 ,3144584E+07   5250026E-01  ,1410E+06 -,1214E+04   ,9607166  ,2769331 -,0182126
T   30  1 ,3179695E+07   5250005E-01  ,1579E+06  ,1902E+05   ,9399621  ,3338635  ,0707561
T   31  1 ,3171995E+07   5250006E-01  ,1409E+06  ,1963E+05   ,9669446  ,2522379  ,0373395
T   32  1 ,3068385E+07   5250021E-01  ,1359E+06 -,2243E+04   ,9731602  ,2299852  ,0081295
T   33  1 ,3175440E+07   5250010E-01  ,1331E+06 -,3968E+04   ,9709098  ,2394310 -,0026340
T   34  1 ,3160321E+07   5250020E-01  ,1422E+06  ,5281E+04   ,9658930  ,2573712  ,0284730
T   35  1 ,3168659E+07   5250011E-01  ,1514E+06  ,2648E+04   ,9450490  ,3265837  ,0150174
T   36  1 ,3133032E+07   5250019E-01  ,1339E+06  ,4114E+04   ,9692765  ,2447965  ,0240368
T   37  1 ,3171367E+07   5250016E-01  ,1406E+06 -,5319E+04   ,9595322  ,2811676 -,0155795
