============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(4,09 MeV) ==> Silicon( 58.5 um) ========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  1 ,3090574E+07   5850016E-01 -,5779E+04 -,1913E+04   ,9996421 -,0139349 -,0228356
T    2  1 ,3128494E+07   5850003E-01  ,1954E+05 -,3008E+04   ,9995838  ,0020056 -,0287768
T    3  1 ,3146289E+07   5850023E-01  ,9458E+04  ,1969E+04   ,9992801  ,0309538  ,0219363
T    4  1 ,3066159E+07   5850024E-01 -,4278E+04  ,2290E+05   ,9985369 -,0295169  ,0453085
T    5  1 ,3071303E+07   5850008E-01  ,5564E+04  ,1298E+04   ,9999400 -,0036506 -,0103300
T    6  1 ,3143069E+07   5850022E-01 -,1232E+05 -,4232E+04   ,9995259 -,0278591 -,0131060
T    7  1 ,3124752E+07   5850021E-01  ,9315E+03 -,6471E+04   ,9996044 -,0100112 -,0262832
T    8  1 ,3058732E+07   5850017E-01  ,2658E+03  ,2743E+05   ,9975797 -,0206507  ,0663952
T    9  1 ,3047742E+07   5850009E-01 -,4810E+04  ,4274E+04   ,9997487  ,0053916  ,0217585
T   10  1 ,3140491E+07   5850018E-01  ,3937E+04 -,4076E+04   ,9998357  ,0066319 -,0168699
T   11  1 ,3092014E+07   5850026E-01 -,1437E+05 -,1691E+05   ,9954828 -,0582197 -,0749961
T   12  1 ,3104837E+07   5850014E-01 -,2921E+05 -,1108E+05   ,9971303 -,0756631  ,0025180
T   13  1 ,3060500E+07   5850024E-01 -,3285E+04 -,2822E+04   ,9995092 -,0306241  ,0065971
T   14  1 ,3127882E+07   5850027E-01 -,4703E+04 -,2528E+04   ,9999328 -,0073509  ,0089684
T   15  1 ,3093735E+07   5850006E-01 -,5412E+04  ,1338E+04   ,9998977 -,0143044  ,0000699
T   16  1 ,3096506E+07   5850007E-01 -,5430E+04  ,8311E+04   ,9990039 -,0168793  ,0413072
T   17  1 ,3104842E+07   5850020E-01 -,5318E+03  ,3396E+04   ,9999736  ,0043542 -,0058102
