============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(4,07 MeV) ==> Silicon( 68.1 um) ========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  1 ,2879755E+07   6820023E-01 -,8022E+04 -,4559E+04   ,9992062 -,0256084 -,0305137
T    2  1 ,2830152E+07   6820020E-01 -,3058E+04 -,1784E+05   ,9983551 -,0542635 -,0185075
T    3  1 ,2927602E+07   6820027E-01 -,1139E+05 -,7563E+04   ,9993148  ,0045807 -,0367289
T    4  1 ,2826929E+07   6820004E-01 -,7037E+04 -,2158E+05   ,9982973 -,0239571 -,0531838
T    5  1 ,2875228E+07   6820017E-01 -,1198E+05 -,4985E+04   ,9991129 -,0337335 -,0252074
T    6  1 ,2861982E+07   6820015E-01  ,2047E+05  ,1666E+05   ,9957791  ,0682960  ,0613162
T    7  1 ,2864270E+07   6820022E-01 -,1867E+05  ,1308E+05   ,9989751 -,0450509  ,0043735
T    8  1 ,2914997E+07   6820006E-01 -,9049E+04  ,5581E+04   ,9999641 -,0041654  ,0073795
T    9  1 ,2898472E+07   6820017E-01  ,7705E+03  ,1927E+04   ,9995680  ,0270989  ,0113749
T   10  1 ,2842549E+07   6820022E-01  ,7227E+04 -,7248E+04   ,9925027  ,0612912 -,1057442
T   11  1 ,2872657E+07   6820008E-01  ,1081E+05 -,1471E+05   ,9973331  ,0569404 -,0456561
T   12  1 ,2938930E+07   6820015E-01 -,4378E+04 -,6598E+04   ,9997883 -,0152762 -,0137845
T   13  1 ,2853640E+07   6820023E-01  ,9400E+04 -,6579E+04   ,9994815  ,0243047 -,0211178
T   14  1 ,2870980E+07   6820006E-01 -,1145E+05  ,1027E+05   ,9994703 -,0224405  ,0235700
T   15  1 ,2885656E+07   6820021E-01 -,4572E+05  ,5753E+05   ,9682277 -,1724015  ,1811434
T   16  1 ,2830781E+07   6820023E-01  ,1601E+05 -,4578E+04   ,9982829  ,0584001 -,0045411
T   17  1 ,2820910E+07   6820019E-01  ,2628E+04 -,5621E+04   ,9999844 -,0046479 -,0030963
T   18  1 ,2904665E+07   6820022E-01  ,1258E+05  ,9514E+04   ,9979983  ,0545787  ,0319461
T   19  1 ,2908029E+07   6820016E-01 -,9510E+04 -,2051E+04   ,9999882 -,0043687  ,0021329
T   20  1 ,2848603E+07   6820003E-01  ,2083E+04 -,1613E+05   ,9982754 -,0159641 -,0564916
T   21  1 ,2872951E+07   6820017E-01  ,1962E+05 -,2026E+05   ,9984760  ,0343517 -,0431933
T   22  1 ,2881470E+07   6820018E-01 -,8573E+04 -,2707E+04   ,9999341 -,0114663 -,0005584
T   23  1 ,2819160E+07   6820011E-01  ,9759E+04 -,7828E+04   ,9997376  ,0037111 -,0226044
T   24  1 ,2843352E+07   6820000E-01 -,2959E+05 -,1164E+05   ,9958371 -,0854511 -,0317261
T   25  1 ,2890515E+07   6820015E-01 -,1586E+04 -,1548E+05   ,9979844 -,0256204 -,0580576
T   26  1 ,2857864E+07   6820022E-01 -,1256E+05  ,2788E+03   ,9992737 -,0361918 -,0119294
T   27  1 ,2836830E+07   6820017E-01 -,2564E+05 -,3638E+05   ,9973011 -,0573682 -,0458184
T   28  1 ,2839724E+07   6820023E-01 -,1037E+04  ,9691E+04   ,9998112  ,0193152 -,0021003
T   29  1 ,2906356E+07   6820003E-01 -,3743E+04 -,1398E+05   ,9991029 -,0338533 -,0254433
T   30  1 ,2869945E+07   6820025E-01  ,1916E+05 -,3364E+05   ,9940309  ,0265012 -,1058313
T   31  1 ,2828265E+07   6820017E-01 -,2030E+05  ,1011E+05   ,9981752 -,0433646  ,0420211
T   32  1 ,2857267E+07   6820003E-01 -,2121E+04  ,2482E+04   ,9997953  ,0202096  ,0010068
T   33  1 ,2874097E+07   6820005E-01 -,8088E+03  ,3806E+03   ,9992275  ,0266326  ,0288983
T   34  1 ,2951247E+07   6820000E-01 -,8350E+03  ,6163E+04   ,9995748  ,0139373  ,0256100
T   35  1 ,2939956E+07   6820011E-01 -,1672E+05  ,4104E+04   ,9984902 -,0529063 -,0147729
T   36  1 ,2785441E+07   6820017E-01 -,4892E+04 -,9078E+04   ,9995663  ,0111004 -,0272780
T   37  1 ,2886524E+07   6820010E-01 -,1679E+05 -,4982E+04   ,9990159 -,0414883 -,0156850
T   38  1 ,2806128E+07   6820023E-01  ,5205E+04  ,4517E+04   ,9997922  ,0203641  ,0009433
T   39  1 ,2882714E+07   6820021E-01  ,1095E+04  ,6284E+04   ,9997246 -,0233693  ,0021278
T   40  1 ,2880732E+07   6820015E-01 -,5894E+04 -,8217E+04   ,9996713 -,0115993 -,0228649
